model,AUROC,Accuracy,F1
LogisticRegressionModel,0.5583841502555179,0.7153516929213256,0.5968990928289056
GBTClassificationModel,0.7096501660146097,0.7366064432354983,0.6716627895540135
RandomForestClassificationModel,0.6466102952683055,0.715417851306275,0.5993357550338162
