model,AUROC,AUPR,F1
LogisticRegressionModel,0.56148066722395,0.3324958551730278,0.6002110297241451
GBTClassificationModel,0.7048460331002389,0.49579176426836363,0.6698565196828377
RandomForestClassificationModel,0.6497730140076616,0.418145733323984,0.6049743340282694
